SEASON_YEAR,TEAM_ABBREVIATION,GAME_DATE,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,AVAILABLE_FLAG,USG_PCT,PCT_FGM,PCT_FGA,PCT_FG3M,PCT_FG3A,PCT_FTM,PCT_FTA,PCT_OREB,PCT_DREB,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_BLKA,PCT_PF,PCT_PFD,PCT_PTS,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM_PG,FGA_PG,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,OPPONENT,HOME,next_pts,next_asts,next_rbs,next_fg3,team_code,opponent_code
2022-23,GSW,2022-11-11T00:00:00,W,34.00333333333333,15,23,0.652,6,11,0.545,4,6,0.667,0,4,4,5,2,1,0,0,4,5,40,7,53.3,0,0,57.0,1,0.364,0.517,0.383,0.545,0.407,0.444,0.5,0.0,0.154,0.129,0.227,0.2,0.2,0.0,0.0,0.2,0.357,0.513,4,2,5,14,8,10,9,38,111.0,108.3,108.3,95.6,98.6,98.6,15.3,9.7,9.7,0.357,2.5,15.2,0.0,0.098,0.055,6.1,6.1,0.783,0.78,0.367,102.0,101.64,84.7,101.64,0.269,72,15.0,23.0,0.522,0.478,0.45,0.1,0.45,0.125,0.1,0.1,0.35,0.667,0.333,0.5,0.5,0.6,0.4,CLE,1,27.0,4.0,6.0,3.0,0,5
2022-23,GSW,2022-11-13T00:00:00,L,36.85,9,17,0.529,3,9,0.333,6,6,1.0,0,6,6,4,4,1,0,1,0,5,27,0,39.2,0,0,42.0,1,0.258,0.265,0.239,0.231,0.237,0.667,0.667,0.0,0.222,0.176,0.174,0.286,0.333,0.0,0.5,0.0,0.417,0.3,6,2,4,10,11,15,4,32,109.8,112.5,112.5,112.3,113.9,113.9,-2.5,-1.4,-1.4,0.16,1.0,14.8,0.0,0.158,0.08,14.8,14.5,0.618,0.687,0.266,105.59,103.55,86.3,103.55,0.157,80,9.0,17.0,0.471,0.529,0.444,0.074,0.333,0.148,0.223,0.222,0.37,0.167,0.833,0.667,0.333,0.333,0.667,SAC,0,16.0,5.0,5.0,3.0,0,24
2022-23,GSW,2022-11-14T00:00:00,W,27.016666666666666,5,11,0.455,3,7,0.429,3,3,1.0,1,4,5,5,1,1,0,1,1,1,16,17,31.5,0,0,31.0,1,0.206,0.2,0.216,0.273,0.28,0.3,0.3,0.333,0.211,0.227,0.263,0.143,0.167,0.0,0.25,0.2,0.111,0.225,6,2,3,4,9,16,2,22,119.5,124.6,124.6,92.1,94.7,94.7,27.4,29.8,29.8,0.25,5.0,27.8,0.038,0.105,0.078,5.6,5.5,0.591,0.649,0.213,104.86,101.27,84.39,101.27,0.162,57,5.0,11.0,0.364,0.636,0.25,0.0,0.563,0.188,0.187,0.375,0.25,0.5,0.5,1.0,0.0,0.8,0.2,SAS,1,50.0,6.0,9.0,7.0,0,25
2022-23,GSW,2022-11-16T00:00:00,L,36.23333333333333,17,28,0.607,7,11,0.636,9,9,1.0,0,9,9,6,3,0,1,3,2,6,50,-14,69.8,0,0,74.0,1,0.375,0.515,0.394,0.5,0.333,0.692,0.692,0.0,0.346,0.321,0.261,0.273,0.0,0.333,0.429,0.125,0.4,0.538,6,0,7,16,19,11,8,26,108.5,112.0,112.0,130.1,128.9,128.9,-21.6,-16.9,-16.9,0.375,2.0,15.4,0.0,0.281,0.129,7.7,7.3,0.732,0.782,0.399,111.25,109.95,91.63,109.95,0.248,83,17.0,28.0,0.607,0.393,0.4,0.08,0.42,0.14,0.18,0.12,0.32,0.3,0.7,0.571,0.429,0.412,0.588,PHX,0,24.0,10.0,6.0,5.0,0,22
2022-23,GSW,2022-11-18T00:00:00,W,33.833333333333336,9,19,0.474,5,13,0.385,1,3,0.333,0,6,6,10,5,2,0,1,2,2,24,18,47.2,1,0,49.0,1,0.301,0.257,0.292,0.385,0.382,0.111,0.214,0.0,0.214,0.171,0.37,0.455,0.5,0.0,0.333,0.111,0.182,0.261,1,3,4,6,14,13,12,28,122.4,126.0,126.0,100.0,100.0,100.0,22.4,26.0,26.0,0.385,2.0,28.6,0.0,0.15,0.083,14.3,14.2,0.605,0.591,0.308,105.81,104.28,86.9,104.28,0.157,73,9.0,19.0,0.316,0.684,0.333,0.083,0.625,0.167,0.042,0.042,0.25,0.5,0.5,0.8,0.2,0.667,0.333,NYK,1,33.0,15.0,6.0,7.0,0,18
2022-23,GSW,2022-11-20T00:00:00,W,36.995,11,20,0.55,7,14,0.5,4,5,0.8,0,6,6,15,1,3,2,0,3,3,33,22,76.7,1,0,71.0,1,0.271,0.262,0.303,0.292,0.368,0.5,0.417,0.0,0.273,0.214,0.429,0.077,0.429,0.5,0.0,0.188,0.273,0.284,7,3,5,6,10,14,9,36,148.2,146.8,146.8,117.8,119.0,119.0,30.4,27.8,27.8,0.484,15.0,39.5,0.0,0.162,0.094,2.6,2.6,0.725,0.743,0.275,102.55,102.5,85.42,102.5,0.206,79,11.0,20.0,0.3,0.7,0.242,0.061,0.636,0.152,0.122,0.212,0.182,0.5,0.5,0.571,0.429,0.545,0.455,HOU,0,22.0,9.0,6.0,4.0,0,9
2022-23,GSW,2022-11-23T00:00:00,W,31.683333333333334,9,20,0.45,4,10,0.4,0,0,0.0,1,5,6,9,1,0,0,1,0,0,22,18,41.7,0,0,41.0,1,0.269,0.25,0.317,0.308,0.357,0.0,0.0,0.125,0.278,0.231,0.346,0.111,0.0,0.0,0.5,0.0,0.0,0.239,4,0,0,8,15,9,7,30,135.4,137.3,137.3,107.1,108.8,108.8,28.3,28.5,28.5,0.333,9.0,30.0,0.037,0.156,0.102,3.3,3.3,0.55,0.55,0.276,103.84,102.26,85.22,102.26,0.165,67,9.0,20.0,0.5,0.5,0.455,0.091,0.545,0.0,0.0,0.182,0.364,0.6,0.4,0.25,0.75,0.444,0.556,LAC,1,33.0,4.0,5.0,6.0,0,11
2022-23,GSW,2022-11-25T00:00:00,W,35.71666666666667,13,23,0.565,6,13,0.462,1,1,1.0,0,5,5,4,5,2,0,1,4,3,33,19,46.0,0,0,52.0,1,0.295,0.31,0.295,0.353,0.361,0.5,0.333,0.0,0.217,0.139,0.148,0.357,0.25,0.0,0.25,0.333,0.273,0.32,4,4,8,14,15,11,7,44,128.2,132.1,132.1,109.5,109.1,109.1,18.7,23.0,23.0,0.138,0.8,12.5,0.0,0.135,0.068,15.6,15.4,0.696,0.704,0.305,105.52,104.15,86.79,104.15,0.136,78,13.0,23.0,0.435,0.565,0.424,0.0,0.545,0.242,0.031,0.121,0.424,0.714,0.286,0.667,0.333,0.692,0.308,UTA,1,25.0,8.0,11.0,4.0,0,27
2022-23,GSW,2022-11-27T00:00:00,W,32.61666666666667,7,17,0.412,4,11,0.364,7,7,1.0,1,10,11,8,7,1,0,0,1,4,25,22,46.2,1,0,50.0,1,0.351,0.189,0.288,0.286,0.379,0.583,0.5,0.25,0.435,0.407,0.308,0.636,0.2,0.0,0.0,0.083,0.333,0.25,0,0,0,4,12,9,15,32,138.6,138.9,138.9,110.7,108.3,108.3,27.9,30.6,30.6,0.267,1.14,22.9,0.043,0.323,0.204,20.0,20.0,0.529,0.623,0.356,104.96,105.96,88.3,105.96,0.155,72,7.0,17.0,0.353,0.647,0.24,0.08,0.48,0.0,0.28,0.0,0.16,0.333,0.667,0.5,0.5,0.429,0.571,MIN,0,32.0,5.0,5.0,5.0,0,16
2022-23,GSW,2022-11-29T00:00:00,L,37.795,11,24,0.458,5,14,0.357,5,6,0.833,1,4,5,5,4,0,0,1,4,4,32,-12,41.5,0,0,47.0,1,0.315,0.355,0.348,0.556,0.4,0.333,0.3,0.143,0.129,0.132,0.263,0.286,0.0,0.0,0.333,0.25,0.211,0.372,3,0,8,10,18,18,12,36,101.4,102.4,102.4,112.9,116.7,116.7,-11.5,-14.3,-14.3,0.25,1.25,14.7,0.026,0.085,0.058,11.8,11.2,0.563,0.601,0.334,108.97,106.68,88.9,106.68,0.133,84,11.0,24.0,0.417,0.583,0.375,0.063,0.469,0.25,0.156,0.094,0.313,0.167,0.833,0.4,0.6,0.273,0.727,DAL,0,19.0,6.0,11.0,4.0,0,6
